"Date","Ticker","Close"
"2014-12-31","ADBE                          ","72.7"
"2014-12-31","MSFT                          ","41.7"
"2014-12-31","MU                            ","35.01"
"2014-12-31","ACN                           ","80.59"
"2014-12-31","APH                           ","51.44"
"2014-12-31","ADI                           ","49.62"
"2014-12-31","AMAT                          ","22.93"
"2014-12-31","ADS                           ","274.68"
"2014-12-31","AKAM                          ","62.96"
"2014-12-31","IBM                           ","129.29"
"2014-12-31","CSCO                          ","23.77"
"2014-12-31","CRM                           ","59.31"
"2014-12-31","INTC                          ","31.56"
"2014-12-31","QCOM                          ","62.59"
"2014-12-31","FIS                           ","58.31"
"2014-12-31","LRCX                          ","73.25"
"2014-12-31","TEL                           ","56.86"
"2014-12-31","PAYX                          ","39.32"
"2014-12-31","V                             ","62.84"
"2014-12-31","CDNS                          ","18.97"
"2014-12-31","AAPL                          ","101.42"
"2014-12-31","ANSS                          ","82.0"
"2014-12-31","CTSH                          ","50.99"
"2014-12-31","FTNT                          ","30.66"
"2014-12-31","CTXS                          ","50.09"
"2014-12-31","KLAC                          ","61.14"
"2014-12-31","BR                            ","42.32"
"2014-12-31","MXIM                          ","27.38"
"2014-12-31","NVDA                          ","19.34"
"2014-12-31","GPN                           ","40.23"
"2014-12-31","INTU                          ","87.64"
"2014-12-31","NTAP                          ","37.04"
"2014-12-31","HPQ                           ","15.35"
"2014-12-31","ADSK                          ","60.06"
"2014-12-31","KEYS                          ","33.77"
"2014-12-31","AMD                           ","2.67"
"2014-12-31","WDC                           ","93.2"
"2014-12-31","TXN                           ","46.93"
"2014-12-31","ORCL                          ","41.59"
"2014-12-31","GLW                           ","20.3"
"2014-12-31","MA                            ","83.31"
"2014-12-31","MCHP                          ","40.43"
"2014-12-31","MSI                           ","60.94"
"2014-12-31","SWKS                          ","67.85"
"2014-12-31","FLIR                          ","30.2"
"2014-12-31","FISV                          ","35.49"
"2014-12-31","STX                           ","50.1"
"2014-12-31","VRSN                          ","57.0"
"2014-12-31","WU                            ","15.14"
"2014-12-31","XRX                           ","32.84"
"2014-12-31","JNPR                          ","20.31"
"2014-12-31","XLNX                          ","38.76"
"2014-12-31","JKHY                          ","58.55"
"2014-12-31","ANET                          ","60.76"
"2014-12-31","IPGP                          ","74.92"
"2014-12-31","ADP                           ","74.98"
"2014-12-31","NOW                           ","67.85"
"2014-12-31","CDW                           ","33.36"
"2014-12-31","AVGO                          ","90.47"
"2014-12-31","DXC                           ","21.34"
"2014-12-31","FLT                           ","148.71"
"2014-12-31","SNPS                          ","43.47"
"2014-12-31","LDOS                          ","28.45"
