"Date","Ticker","Close"
"2019-11-20","ADBE                          ","300.1"
"2019-11-20","QRVO                          ","101.89"
"2019-11-20","HPE                           ","17.12"
"2019-11-20","MSFT                          ","149.62"
"2019-11-20","MU                            ","45.57"
"2019-11-20","ACN                           ","197.71"
"2019-11-20","APH                           ","102.22"
"2019-11-20","ADI                           ","108.58"
"2019-11-20","AMAT                          ","59.65"
"2019-11-20","ADS                           ","101.22"
"2019-11-20","AKAM                          ","86.86"
"2019-11-20","IBM                           ","133.2"
"2019-11-20","CSCO                          ","45.08"
"2019-11-20","CRM                           ","164.2"
"2019-11-20","INTC                          ","57.9"
"2019-11-20","QCOM                          ","85.62"
"2019-11-20","FIS                           ","137.47"
"2019-11-20","LRCX                          ","274.13"
"2019-11-20","TEL                           ","91.37"
"2019-11-20","PAYX                          ","85.75"
"2019-11-20","V                             ","181.66"
"2019-11-20","CDNS                          ","67.7"
"2019-11-20","PYPL                          ","104.09"
"2019-11-20","AAPL                          ","263.19"
"2019-11-20","ANSS                          ","245.49"
"2019-11-20","CTSH                          ","63.51"
"2019-11-20","FTNT                          ","102.45"
"2019-11-20","CTXS                          ","112.92"
"2019-11-20","KLAC                          ","173.67"
"2019-11-20","BR                            ","122.44"
"2019-11-20","MXIM                          ","55.47"
"2019-11-20","NVDA                          ","211.18"
"2019-11-20","GPN                           ","180.51"
"2019-11-20","INTU                          ","273.48"
"2019-11-20","NTAP                          ","61.44"
"2019-11-20","HPQ                           ","19.7"
"2019-11-20","ADSK                          ","165.33"
"2019-11-20","KEYS                          ","107.51"
"2019-11-20","AMD                           ","40.98"
"2019-11-20","WDC                           ","48.5"
"2019-11-20","TXN                           ","116.23"
"2019-11-20","ORCL                          ","56.24"
"2019-11-20","GLW                           ","28.62"
"2019-11-20","MA                            ","285.38"
"2019-11-20","MCHP                          ","91.15"
"2019-11-20","MSI                           ","166.36"
"2019-11-20","SWKS                          ","96.04"
"2019-11-20","FLIR                          ","53.26"
"2019-11-20","FISV                          ","115.35"
"2019-11-20","STX                           ","59.61"
"2019-11-20","VRSN                          ","192.5"
"2019-11-20","WU                            ","26.97"
"2019-11-20","XRX                           ","38.3"
"2019-11-20","JNPR                          ","25.56"
"2019-11-20","XLNX                          ","91.01"
"2019-11-20","JKHY                          ","150.35"
"2019-11-20","ANET                          ","194.04"
"2019-11-20","IPGP                          ","137.14"
"2019-11-20","ADP                           ","170.58"
"2019-11-20","NOW                           ","283.0"
"2019-11-20","CDW                           ","137.7"
"2019-11-20","AVGO                          ","311.67"
"2019-11-20","DXC                           ","35.89"
"2019-11-20","FLT                           ","301.0"
"2019-11-20","SNPS                          ","140.84"
"2019-11-20","LDOS                          ","91.66"
