"Date","Ticker","Close"
"2013-12-31","ADBE                          ","59.88"
"2013-12-31","MSFT                          ","32.69"
"2013-12-31","MU                            ","21.75"
"2013-12-31","ACN                           ","72.33"
"2013-12-31","APH                           ","41.96"
"2013-12-31","ADI                           ","44.24"
"2013-12-31","AMAT                          ","15.96"
"2013-12-31","ADS                           ","252.48"
"2013-12-31","AKAM                          ","47.18"
"2013-12-31","IBM                           ","147.56"
"2013-12-31","CSCO                          ","18.57"
"2013-12-31","CRM                           ","55.19"
"2013-12-31","INTC                          ","21.89"
"2013-12-31","QCOM                          ","61.21"
"2013-12-31","FIS                           ","49.48"
"2013-12-31","LRCX                          ","49.9"
"2013-12-31","TEL                           ","48.64"
"2013-12-31","PAYX                          ","37.46"
"2013-12-31","V                             ","51.79"
"2013-12-31","CDNS                          ","14.02"
"2013-12-31","AAPL                          ","72.12"
"2013-12-31","ANSS                          ","87.2"
"2013-12-31","CTSH                          ","48.89"
"2013-12-31","FTNT                          ","19.13"
"2013-12-31","CTXS                          ","49.66"
"2013-12-31","KLAC                          ","43.84"
"2013-12-31","BR                            ","35.4"
"2013-12-31","MXIM                          ","23.15"
"2013-12-31","NVDA                          ","15.18"
"2013-12-31","GPN                           ","32.32"
"2013-12-31","INTU                          ","71.8"
"2013-12-31","NTAP                          ","36.16"
"2013-12-31","HPQ                           ","10.29"
"2013-12-31","ADSK                          ","50.32"
"2013-12-31","AMD                           ","3.87"
"2013-12-31","WDC                           ","69.56"
"2013-12-31","TXN                           ","37.52"
"2013-12-31","ORCL                          ","34.96"
"2013-12-31","GLW                           ","15.47"
"2013-12-31","MA                            ","80.32"
"2013-12-31","MCHP                          ","38.87"
"2013-12-31","MSI                           ","60.09"
"2013-12-31","SWKS                          ","26.47"
"2013-12-31","FLIR                          ","27.79"
"2013-12-31","FISV                          ","29.53"
"2013-12-31","STX                           ","40.56"
"2013-12-31","VRSN                          ","59.78"
"2013-12-31","WU                            ","14.15"
"2013-12-31","XRX                           ","28.62"
"2013-12-31","JNPR                          ","20.36"
"2013-12-31","XLNX                          ","40.09"
"2013-12-31","JKHY                          ","54.96"
"2013-12-31","IPGP                          ","77.61"
"2013-12-31","ADP                           ","62.3"
"2013-12-31","NOW                           ","56.01"
"2013-12-31","CDW                           ","22.01"
"2013-12-31","AVGO                          ","46.82"
"2013-12-31","DXC                           ","18.38"
"2013-12-31","FLT                           ","117.17"
"2013-12-31","SNPS                          ","40.57"
"2013-12-31","LDOS                          ","29.39"
