"Date","Ticker","Close"
"2016-12-30","ADBE                          ","102.95"
"2016-12-30","QRVO                          ","52.73"
"2016-12-30","HPE                           ","12.5"
"2016-12-30","MSFT                          ","58.88"
"2016-12-30","MU                            ","21.92"
"2016-12-30","ACN                           ","111.38"
"2016-12-30","APH                           ","65.48"
"2016-12-30","ADI                           ","68.56"
"2016-12-30","AMAT                          ","30.82"
"2016-12-30","ADS                           ","219.98"
"2016-12-30","AKAM                          ","66.68"
"2016-12-30","IBM                           ","145.88"
"2016-12-30","CSCO                          ","27.54"
"2016-12-30","CRM                           ","68.46"
"2016-12-30","INTC                          ","33.57"
"2016-12-30","QCOM                          ","58.65"
"2016-12-30","FIS                           ","73.11"
"2016-12-30","LRCX                          ","100.51"
"2016-12-30","TEL                           ","65.03"
"2016-12-30","PAYX                          ","55.39"
"2016-12-30","V                             ","76.47"
"2016-12-30","CDNS                          ","25.22"
"2016-12-30","PYPL                          ","39.47"
"2016-12-30","AAPL                          ","110.64"
"2016-12-30","ANSS                          ","92.49"
"2016-12-30","CTSH                          ","54.25"
"2016-12-30","FTNT                          ","30.12"
"2016-12-30","CTXS                          ","70.13"
"2016-12-30","KLAC                          ","72.96"
"2016-12-30","BR                            ","63.34"
"2016-12-30","MXIM                          ","35.43"
"2016-12-30","NVDA                          ","105.7"
"2016-12-30","GPN                           ","69.34"
"2016-12-30","INTU                          ","111.47"
"2016-12-30","NTAP                          ","33.03"
"2016-12-30","HPQ                           ","13.73"
"2016-12-30","ADSK                          ","74.01"
"2016-12-30","KEYS                          ","36.57"
"2016-12-30","AMD                           ","11.34"
"2016-12-30","WDC                           ","62.17"
"2016-12-30","TXN                           ","67.48"
"2016-12-30","ORCL                          ","36.62"
"2016-12-30","GLW                           ","22.59"
"2016-12-30","MA                            ","101.37"
"2016-12-30","MCHP                          ","60.9"
"2016-12-30","MSI                           ","78.76"
"2016-12-30","SWKS                          ","71.48"
"2016-12-30","FLIR                          ","34.84"
"2016-12-30","FISV                          ","53.14"
"2016-12-30","STX                           ","32.75"
"2016-12-30","VRSN                          ","76.07"
"2016-12-30","WU                            ","19.58"
"2016-12-30","XRX                           ","21.14"
"2016-12-30","JNPR                          ","26.54"
"2016-12-30","XLNX                          ","57.15"
"2016-12-30","JKHY                          ","86.0"
"2016-12-30","ANET                          ","96.77"
"2016-12-30","IPGP                          ","98.71"
"2016-12-30","ADP                           ","97.02"
"2016-12-30","NOW                           ","74.34"
"2016-12-30","CDW                           ","50.49"
"2016-12-30","AVGO                          ","163.36"
"2016-12-30","DXC                           ","49.73"
"2016-12-30","FLT                           ","141.52"
"2016-12-30","SNPS                          ","58.86"
"2016-12-30","LDOS                          ","48.38"
