"Date","Ticker","Close"
"2015-12-31","ADBE                          ","93.94"
"2015-12-31","QRVO                          ","50.9"
"2015-12-31","HPE                           ","8.03"
"2015-12-31","MSFT                          ","51.16"
"2015-12-31","MU                            ","14.16"
"2015-12-31","ACN                           ","97.4"
"2015-12-31","APH                           ","50.41"
"2015-12-31","ADI                           ","50.8"
"2015-12-31","AMAT                          ","17.54"
"2015-12-31","ADS                           ","265.58"
"2015-12-31","AKAM                          ","52.63"
"2015-12-31","IBM                           ","115.4"
"2015-12-31","CSCO                          ","23.92"
"2015-12-31","CRM                           ","78.4"
"2015-12-31","INTC                          ","30.87"
"2015-12-31","QCOM                          ","43.41"
"2015-12-31","FIS                           ","57.72"
"2015-12-31","LRCX                          ","74.35"
"2015-12-31","TEL                           ","59.24"
"2015-12-31","PAYX                          ","46.55"
"2015-12-31","V                             ","75.28"
"2015-12-31","CDNS                          ","20.81"
"2015-12-31","PYPL                          ","36.2"
"2015-12-31","AAPL                          ","98.36"
"2015-12-31","ANSS                          ","92.5"
"2015-12-31","CTSH                          ","58.12"
"2015-12-31","FTNT                          ","31.17"
"2015-12-31","CTXS                          ","59.4"
"2015-12-31","KLAC                          ","62.39"
"2015-12-31","BR                            ","50.33"
"2015-12-31","MXIM                          ","33.74"
"2015-12-31","NVDA                          ","32.33"
"2015-12-31","GPN                           ","64.4"
"2015-12-31","INTU                          ","92.76"
"2015-12-31","NTAP                          ","24.19"
"2015-12-31","HPQ                           ","10.45"
"2015-12-31","ADSK                          ","60.93"
"2015-12-31","KEYS                          ","28.33"
"2015-12-31","AMD                           ","2.87"
"2015-12-31","WDC                           ","52.92"
"2015-12-31","TXN                           ","49.36"
"2015-12-31","ORCL                          ","34.26"
"2015-12-31","GLW                           ","16.58"
"2015-12-31","MA                            ","94.82"
"2015-12-31","MCHP                          ","42.99"
"2015-12-31","MSI                           ","63.56"
"2015-12-31","SWKS                          ","72.36"
"2015-12-31","FLIR                          ","26.61"
"2015-12-31","FISV                          ","45.73"
"2015-12-31","STX                           ","28.87"
"2015-12-31","VRSN                          ","87.36"
"2015-12-31","WU                            ","15.63"
"2015-12-31","XRX                           ","25.43"
"2015-12-31","JNPR                          ","25.5"
"2015-12-31","XLNX                          ","43.28"
"2015-12-31","JKHY                          ","74.63"
"2015-12-31","ANET                          ","77.84"
"2015-12-31","IPGP                          ","89.16"
"2015-12-31","ADP                           ","78.06"
"2015-12-31","NOW                           ","86.56"
"2015-12-31","CDW                           ","40.19"
"2015-12-31","AVGO                          ","132.12"
"2015-12-31","DXC                           ","26.97"
"2015-12-31","FLT                           ","142.93"
"2015-12-31","SNPS                          ","45.61"
"2015-12-31","LDOS                          ","38.12"
