"Date","Ticker","Close"
"2018-12-31","ADBE                          ","226.24"
"2018-12-31","QRVO                          ","60.73"
"2018-12-31","HPE                           ","12.92"
"2018-12-31","MSFT                          ","100.09"
"2018-12-31","MU                            ","31.73"
"2018-12-31","ACN                           ","139.25"
"2018-12-31","APH                           ","80.41"
"2018-12-31","ADI                           ","84.5"
"2018-12-31","AMAT                          ","32.15"
"2018-12-31","ADS                           ","147.29"
"2018-12-31","AKAM                          ","61.08"
"2018-12-31","IBM                           ","108.47"
"2018-12-31","CSCO                          ","42.14"
"2018-12-31","CRM                           ","136.97"
"2018-12-31","INTC                          ","45.79"
"2018-12-31","QCOM                          ","55.31"
"2018-12-31","FIS                           ","101.65"
"2018-12-31","LRCX                          ","133.89"
"2018-12-31","TEL                           ","74.08"
"2018-12-31","PAYX                          ","63.23"
"2018-12-31","V                             ","131.1"
"2018-12-31","CDNS                          ","43.48"
"2018-12-31","PYPL                          ","84.09"
"2018-12-31","AAPL                          ","155.41"
"2018-12-31","ANSS                          ","142.94"
"2018-12-31","CTSH                          ","62.69"
"2018-12-31","FTNT                          ","70.43"
"2018-12-31","CTXS                          ","101.36"
"2018-12-31","KLAC                          ","87.34"
"2018-12-31","BR                            ","95.03"
"2018-12-31","MXIM                          ","49.53"
"2018-12-31","NVDA                          ","133.08"
"2018-12-31","GPN                           ","103.11"
"2018-12-31","INTU                          ","195.3"
"2018-12-31","NTAP                          ","57.94"
"2018-12-31","HPQ                           ","19.95"
"2018-12-31","ADSK                          ","128.61"
"2018-12-31","KEYS                          ","62.08"
"2018-12-31","AMD                           ","18.46"
"2018-12-31","WDC                           ","35.83"
"2018-12-31","TXN                           ","91.92"
"2018-12-31","ORCL                          ","44.39"
"2018-12-31","GLW                           ","29.41"
"2018-12-31","MA                            ","187.61"
"2018-12-31","MCHP                          ","70.74"
"2018-12-31","MSI                           ","113.78"
"2018-12-31","SWKS                          ","65.95"
"2018-12-31","FLIR                          ","43.1"
"2018-12-31","FISV                          ","73.49"
"2018-12-31","STX                           ","37.1"
"2018-12-31","VRSN                          ","148.29"
"2018-12-31","WU                            ","16.57"
"2018-12-31","XRX                           ","19.31"
"2018-12-31","JNPR                          ","26.31"
"2018-12-31","XLNX                          ","84.0"
"2018-12-31","JKHY                          ","125.43"
"2018-12-31","ANET                          ","210.7"
"2018-12-31","IPGP                          ","113.29"
"2018-12-31","ADP                           ","129.18"
"2018-12-31","NOW                           ","178.05"
"2018-12-31","CDW                           ","80.37"
"2018-12-31","AVGO                          ","247.36"
"2018-12-31","DXC                           ","52.44"
"2018-12-31","FLT                           ","185.72"
"2018-12-31","SNPS                          ","84.24"
"2018-12-31","LDOS                          ","52.04"
