Ticekr,Date,Open,High,Low,Close,Adj Close,Volume
AAPL,26/01/2012,64.05143,64.112854,63.305714,63.51857,55.267567,80996300
AAPL,27/01/2012,63.477142,64.068573,63.395714,63.897144,55.596966,74927300
AAPL,30/01/2012,63.672855,64.842857,63.627144,64.715714,56.309212,94835300
AAPL,31/01/2012,65.084282,65.46286,64.724289,65.211426,56.740505,97920900
AAPL,1/02/2012,65.487144,65.57,65.078575,65.169998,56.704494,67511500
AAPL,2/02/2012,65.128571,65.309998,64.854286,65.017143,56.571476,46699100
AAPL,3/02/2012,65.328575,65.714287,65.080002,65.668571,57.138283,71649900
AAPL,6/02/2012,65.482857,66.425713,65.457146,66.281425,57.671532,62353200
AAPL,7/02/2012,66.464287,67.10714,66.368568,66.975716,58.275627,79055900
AAPL,8/02/2012,67.214287,68.112854,67.099998,68.097145,59.251369,101972500
AAPL,9/02/2012,68.68,70.964287,68.651428,70.452858,61.301102,221053700
AAPL,10/02/2012,70.137146,71.08857,69.792854,70.488571,61.332165,157825500
AAPL,13/02/2012,71.361427,71.975716,71.012856,71.800003,62.473228,129304000
AAPL,14/02/2012,72.094284,72.794289,71.714287,72.779999,63.325947,115099600
AAPL,15/02/2012,73.465714,75.184288,70.984283,71.095711,61.860443,376530000
AAPL,16/02/2012,70.214287,72.127144,69.51857,71.744286,62.42477,236138000
AAPL,17/02/2012,71.872856,72.538574,71.471428,71.73143,62.413586,133951300
AAPL,21/02/2012,72.41143,73.550003,72.017143,73.550003,63.995934,151398800
AAPL,22/02/2012,73.297142,73.641426,72.724289,73.291428,63.770935,120825600
AAPL,23/02/2012,73.582855,73.975716,72.785713,73.769997,64.187332,142006900
AAPL,24/02/2012,74.238571,74.699997,74.091431,74.629997,64.935638,103768000
AAPL,27/02/2012,74.472855,75.5,73.754288,75.108574,65.352058,136895500
AAPL,28/02/2012,75.422859,76.487144,75.121429,76.487144,66.551537,150096800
AAPL,29/02/2012,77.365715,78.230003,76.528572,77.491432,67.425362,238002800
AAPL,1/03/2012,78.309998,78.315712,76.96714,77.781425,67.677681,170817500
AAPL,2/03/2012,77.748573,78.114288,77.502853,77.882858,67.765923,107928100
AAPL,5/03/2012,77.917145,78.211426,75.14286,76.165718,66.271889,202281100
AAPL,6/03/2012,74.808571,76.241432,73.745712,75.751427,65.911377,202559700
AAPL,7/03/2012,76.685715,76.825714,74.757141,75.812859,65.964828,199630200
AAPL,8/03/2012,76.384285,77.57,76.017143,77.427139,67.369415,129114300
AAPL,9/03/2012,77.744286,78.248573,77.587143,77.881432,67.764725,104729800
AAPL,12/03/2012,78.425713,78.85714,78.14286,78.85714,68.61367,101820600
AAPL,13/03/2012,79.648575,81.168571,79.39286,81.157143,70.614899,172713800
AAPL,14/03/2012,82.578575,84.959999,82.199997,84.225716,73.284874,354711000
AAPL,15/03/2012,85.658569,85.715714,82.650002,83.651428,72.785179,289929500
AAPL,16/03/2012,83.531425,84.171425,82.571426,83.652855,72.78643,206371900
AAPL,19/03/2012,85.48143,85.96714,84.150002,85.871429,74.71682,225309000
AAPL,20/03/2012,85.644287,86.699997,84.497147,86.565712,75.320923,204165500
AAPL,21/03/2012,86.105713,87.092857,85.915718,86.071426,74.890816,161010500
AAPL,22/03/2012,85.397141,86.35714,85.075714,85.620003,74.498055,155967700
AAPL,23/03/2012,85.784286,85.971428,84.914284,85.150002,74.089111,107622200
AAPL,26/03/2012,85.684288,86.735718,85.03714,86.711426,75.447708,148935500
AAPL,27/03/2012,86.597145,88.040001,86.580002,87.78286,76.379951,151782400
